Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30
"Marietta, GA",2021-09-01 00:00:00,384000,0.045,224,0.018000000000000002,1.4,2.9
"Marietta, GA",2021-10-01 00:00:00,380000,-0.011000000000000001,224,0.0,1.5,3.0675
"Marietta, GA",2021-11-01 00:00:00,386000,0.016,200,-0.107,1.1,3.0675
"Marietta, GA",2021-12-01 00:00:00,385000,-0.003,175,-0.125,1.2,3.098
"Marietta, GA",2022-01-01 00:00:00,380000,-0.013000000000000001,145,-0.171,1.1,3.445
"Marietta, GA",2022-02-01 00:00:00,400000,0.053,125,-0.138,0.9,3.7625
"Marietta, GA",2022-03-01 00:00:00,408000,0.02,153,0.22399999999999998,0.9,4.172
"Marietta, GA",2022-04-01 00:00:00,400000,-0.02,177,0.157,1.2,4.9825
"Marietta, GA",2022-05-01 00:00:00,432000,0.079,217,0.226,1.2,5.23
"Marietta, GA",2022-06-01 00:00:00,463000,0.07200000000000001,266,0.226,1.7,5.522
"Marietta, GA",2022-07-01 00:00:00,459000,-0.009000000000000001,319,0.19899999999999998,2.2,5.4125
"Marietta, GA",2022-08-01 00:00:00,415000,-0.095,292,-0.085,1.8,5.2225
"Marietta, GA",2022-09-01 00:00:00,435000,0.048,301,0.031,2.0,6.112
"Marietta, GA",2022-10-01 00:00:00,385000,-0.115,312,0.037000000000000005,2.9,6.9
"Marietta, GA",2022-11-01 00:00:00,420000,0.091,292,-0.064,3.1,6.805
"Marietta, GA",2022-12-01 00:00:00,400000,-0.048,240,-0.17800000000000002,2.3,6.364
"Marietta, GA",2023-01-01 00:00:00,395000,-0.013000000000000001,236,-0.017,3.1,6.2725
"Marietta, GA",2023-02-01 00:00:00,385000,-0.025,193,-0.182,1.9,6.2575
"Marietta, GA",2023-03-01 00:00:00,415000,0.079,177,-0.083,1.3,6.544
"Marietta, GA",2023-04-01 00:00:00,425000,0.023,181,0.023,1.4,6.3425
"Marietta, GA",2023-05-01 00:00:00,424000,-0.003,206,0.138,1.3,6.425
"Marietta, GA",2023-06-01 00:00:00,442000,0.045,242,0.175,1.8,6.714
"Marietta, GA",2023-07-01 00:00:00,470000,0.062,247,0.021,1.9,6.84
"Marietta, GA",2023-08-01 00:00:00,451000,-0.04,212,-0.142,1.5,7.072
"Minneapolis, MN",2018-01-01 00:00:00,244000,0.016,654,-0.040999999999999995,1.8,4.0325
"Minneapolis, MN",2018-02-01 00:00:00,249000,0.021,702,0.073,2.0,4.33
"Minneapolis, MN",2018-03-01 00:00:00,263000,0.055999999999999994,846,0.205,1.5,4.444
"Minneapolis, MN",2018-04-01 00:00:00,275000,0.046,958,0.132,1.6,4.4675
"Minneapolis, MN",2018-05-01 00:00:00,277000,0.006,1131,0.18100000000000002,1.6,4.586
"Minneapolis, MN",2018-06-01 00:00:00,276000,-0.002,1270,0.12300000000000001,1.4,4.57
"Minneapolis, MN",2018-07-01 00:00:00,268000,-0.03,1327,0.045,1.6,4.5275
"Minneapolis, MN",2018-08-01 00:00:00,274000,0.022000000000000002,1411,0.063,1.6,4.55
"Minneapolis, MN",2018-09-01 00:00:00,270000,-0.013999999999999999,1471,0.043,2.2,4.6275
"Minneapolis, MN",2018-10-01 00:00:00,270000,0.0,1392,-0.054000000000000006,1.9,4.83
"Minneapolis, MN",2018-11-01 00:00:00,273000,0.01,1191,-0.14400000000000002,1.9,4.866
"Minneapolis, MN",2018-12-01 00:00:00,270000,-0.011000000000000001,895,-0.249,1.6,4.6375
"Minneapolis, MN",2019-01-01 00:00:00,268000,-0.005,859,-0.04,2.1,4.464
"Minneapolis, MN",2019-02-01 00:00:00,264000,-0.018000000000000002,840,-0.022000000000000002,2.0,4.37
"Minneapolis, MN",2019-03-01 00:00:00,280000,0.063,889,0.057999999999999996,1.7,4.265
"Minneapolis, MN",2019-04-01 00:00:00,298000,0.063,1088,0.22399999999999998,1.8,4.1425
"Minneapolis, MN",2019-05-01 00:00:00,305000,0.025,1255,0.153,1.5,4.072
"Minneapolis, MN",2019-06-01 00:00:00,300000,-0.017,1321,0.053,1.5,3.8025
"Minneapolis, MN",2019-07-01 00:00:00,295000,-0.017,1317,-0.003,1.5,3.765
"Minneapolis, MN",2019-08-01 00:00:00,293000,-0.006999999999999999,1329,0.009000000000000001,1.6,3.616
"Minneapolis, MN",2019-09-01 00:00:00,290000,-0.01,1426,0.073,2.0,3.605
"Minneapolis, MN",2019-10-01 00:00:00,285000,-0.017,1345,-0.057,2.1,3.688
"Minneapolis, MN",2019-11-01 00:00:00,281000,-0.012,1099,-0.183,1.8,3.695
"Minneapolis, MN",2019-12-01 00:00:00,280000,-0.005,789,-0.282,1.4,3.72
"Minneapolis, MN",2020-01-01 00:00:00,275000,-0.018000000000000002,760,-0.037000000000000005,1.9,3.624
"Minneapolis, MN",2020-02-01 00:00:00,280000,0.018000000000000002,796,0.047,2.0,3.465
"Minneapolis, MN",2020-03-01 00:00:00,305000,0.08900000000000001,981,0.23199999999999998,1.7,3.45
"Minneapolis, MN",2020-04-01 00:00:00,312000,0.021,1002,0.021,1.7,3.306
"Minneapolis, MN",2020-05-01 00:00:00,300000,-0.037000000000000005,1113,0.111,1.8,3.2325
"Minneapolis, MN",2020-06-01 00:00:00,314000,0.045,1189,0.068,1.6,3.1625
"Minneapolis, MN",2020-07-01 00:00:00,323000,0.032,1358,0.142,1.6,3.016
"Minneapolis, MN",2020-08-01 00:00:00,324000,0.003,1521,0.12,1.7,2.935
"Minneapolis, MN",2020-09-01 00:00:00,312000,-0.038,1709,0.124,1.9,2.89
"Minneapolis, MN",2020-10-01 00:00:00,318000,0.019,1639,-0.040999999999999995,1.8,2.834
"Minneapolis, MN",2020-11-01 00:00:00,303000,-0.049,1297,-0.209,1.7,2.765
"Minneapolis, MN",2020-12-01 00:00:00,300000,-0.008,955,-0.264,1.3,2.684
"Minneapolis, MN",2021-01-01 00:00:00,299000,-0.003,853,-0.107,1.6,2.735
"Minneapolis, MN",2021-02-01 00:00:00,296000,-0.01,867,0.016,1.8,2.81
"Minneapolis, MN",2021-03-01 00:00:00,327000,0.105,889,0.025,1.3,3.0825
"Minneapolis, MN",2021-04-01 00:00:00,335000,0.024,1047,0.17800000000000002,1.4,3.06
"Minneapolis, MN",2021-05-01 00:00:00,345000,0.03,1027,-0.019,1.2,2.9625
"Minneapolis, MN",2021-06-01 00:00:00,345000,0.0,1221,0.18899999999999997,1.1,2.975
"Minneapolis, MN",2021-07-01 00:00:00,340000,-0.013999999999999999,1429,0.17,1.6,2.868
"Minneapolis, MN",2021-08-01 00:00:00,340000,0.0,1474,0.031,1.6,2.8425
"Minneapolis, MN",2021-09-01 00:00:00,327000,-0.038,1613,0.094,2.1,2.9
"Minneapolis, MN",2021-10-01 00:00:00,325000,-0.006,1518,-0.059000000000000004,2.0,3.0675
"Minneapolis, MN",2021-11-01 00:00:00,315000,-0.031,1186,-0.21899999999999997,1.7,3.0675
"Minneapolis, MN",2021-12-01 00:00:00,320000,0.016,827,-0.303,1.1,3.098
"Minneapolis, MN",2022-01-01 00:00:00,310000,-0.032,736,-0.11,1.6,3.445
"Minneapolis, MN",2022-02-01 00:00:00,305000,-0.016,762,0.035,1.7,3.7625
"Minneapolis, MN",2022-03-01 00:00:00,340000,0.115,873,0.146,1.4,4.172
"Minneapolis, MN",2022-04-01 00:00:00,350000,0.028999999999999998,949,0.087,1.3,4.9825
"Minneapolis, MN",2022-05-01 00:00:00,353000,0.009000000000000001,1116,0.17600000000000002,1.3,5.23
"Minneapolis, MN",2022-06-01 00:00:00,361000,0.023,1233,0.105,1.4,5.522
"Minneapolis, MN",2022-07-01 00:00:00,340000,-0.057999999999999996,1358,0.10099999999999999,1.9,5.4125
"Minneapolis, MN",2022-08-01 00:00:00,351000,0.033,1319,-0.028999999999999998,1.9,5.2225
"Minneapolis, MN",2022-09-01 00:00:00,330000,-0.06,1375,0.042,2.2,6.112
